"locationName","address","city","phone","link"
"Louisiana-Lafayette","4210 Ambassador Caffery Pkwy","Lafayette LA 70508","337-706-9310
","https://www.athome.com/store-detail/?StoreID=Louisiana-Lafayette"
"Missouri-Springfield","3700 S Campbell Ave","Springfield MO 65807","417-885-3822
","https://www.athome.com/store-detail/?StoreID=Missouri-Springfield"
"Texas-Corpus Christi","4949 Greenwood Dr","Corpus Christi TX 78416","361-225-2775
","https://www.athome.com"
"Mississippi-Jackson","6360 Ridgewood Court Dr","Jackson MS 39211","769-235-2877
","https://www.athome.com/store-detail/?StoreID=Mississippi-Jackson"
"Tennessee-Memphis","5280 Summer Ave","Memphis TN 38122","901-767-7731
","https://www.athome.com/store-detail/?StoreID=Tennessee-Memphis"
"Tennessee-Memphis South","7697 Winchester Rd","Memphis TN 38125","901-379-5720
","https://www.athome.com"
"Kansas-Olathe","2000 E Santa Fe St","Olathe KS 66062","913-538-4000
","https://www.athome.com/store-detail/?StoreID=Kansas-Olathe"
"Missouri-Lee's Summit","601 N State Highway 291","Lee's Summit MO 64086","816-944-2000
","https://www.athome.com"
"Louisiana-Kenner","1000 W Esplanade Blvd","Kenner LA 70065","504-229-7722
","https://www.athome.com/store-detail/?StoreID=Louisiana-Kenner"
"Mississippi-Hattiesburg","1000 Turtle Creek Dr","Hattiesburg MS 39402","228-206-0452
","https://www.athome.com/store-detail/?StoreID=Mississippi-Hattiesburg"
"Louisiana-Slidell","150 North Shore Blvd","Slidell LA 70460","985-607-6146
","https://www.athome.com/store-detail/?StoreID=Louisiana-Slidell"
"Missouri-Kansas City","600 NE Barry Rd","Kansas City MO 64155","816-381-8313
","https://www.athome.com"
